question_id,question,answer,grv_score,grv_label,in_corpus,category,human_label,notes
Q013,What session type would you use in Azure Container Apps if you need to run workloads in a language not supported by the built-in container?,"You would use a custom container session in Azure Container Apps if you need to run workloads in a language not supported by the built-in container. Custom container sessions allow you to create your own function app instance in a local Docker container from a supported base image, enabling you to customize or control the runtime environment of your function code. This approach is useful for running workloads with custom dependencies or languages not supported by the built-in container.",0.6895,grounded,TRUE,container_apps_ai,grounded,
Q016,What is the recommended approach for a Java Azure Function when adding a binding to an existing function?,"For a Java Azure Function, when adding a binding to an existing function, you need to add binding-specific annotations to the function definition in code.",0.7121,grounded,TRUE,azure_functions_bindings,grounded,
Q017,What type of AI workload scenario are serverless GPUs in Azure Container Apps best suited for?,"Serverless GPUs in Azure Container Apps are best suited for real-time and batch inferencing AI workload scenarios. They are ideal for dynamic applications that use custom open-source models with fast startup times, automatic scaling, and a per-second billing model, allowing you to pay only for the compute you use while your apps automatically scale in and out to meet demand.",0.6678,grounded,TRUE,container_apps_ai,grounded,
Q019,What registration method does the Go worker in Azure Functions use for an Event Hubs trigger?,I could not find relevant information in the available documents.,0.594,partially_grounded,TRUE,azure_functions_go,grounded,
Q020,"For a Python Azure Function using the v1 model, what do you need to do when adding a binding?","For a Python Azure Function using the v1 model, when adding a binding, you do not need to make any additional changes aside from setting up the output binding component. This means you primarily need to define the binding in your `function.json` file, specifying the binding details such as type, direction, and connection settings. No extra modifications to the Python code or environment setup are required specifically for the binding in the v1 model.",0.6678,grounded,TRUE,azure_functions_bindings,grounded,
Q023,What instance memory sizes does the Flex Consumption plan offer?,"The Flex Consumption plan currently offers the following instance memory size options:

- 512 MB
- 2,048 MB (default for most scenarios)
- 4,096 MB",0.78,grounded,TRUE,azure_functions_flex_consumption,grounded,
Q024,What is the recommended default instance memory size for most Flex Consumption scenarios?,"The recommended default instance memory size for most Flex Consumption scenarios is 2,048 MB.",0.7094,grounded,TRUE,azure_functions_flex_consumption,ungrounded,
Q025,What is the default number of always-ready instances in the Flex Consumption plan?,The default number of always-ready instances in the Flex Consumption plan is 0 (zero).,0.6704,grounded,TRUE,azure_functions_flex_consumption,grounded,
Q026,What is the minimum number of always-ready instances required when zone redundancy is enabled in the Flex Consumption plan?,The minimum number of always-ready instances required per function or function group when zone redundancy is enabled in the Flex Consumption plan is two.,0.6571,grounded,TRUE,azure_functions_flex_consumption,grounded,
Q027,What file share protocol does the Flex Consumption plan support for mounting Azure Files shares?,The Flex Consumption plan supports only the SMB (Server Message Block) protocol for mounting Azure Files shares.,0.677,grounded,TRUE,azure_functions_flex_consumption,grounded,
Q028,What operating system does the Flex Consumption plan support?,The Flex Consumption plan supports Linux only.,0.6968,grounded,TRUE,azure_functions_flex_consumption,grounded,
Q029,What is the default maximum instance count for apps running in the Flex Consumption plan?,The default maximum instance count for apps running in the Flex Consumption plan is 100 overall instances.,0.8038,grounded,TRUE,azure_functions_scaling,grounded,
Q030,What is the highest supported maximum instance count for a Flex Consumption plan app?,The highest supported maximum instance count for a Flex Consumption plan app is 1000.,0.6989,grounded,TRUE,azure_functions_scaling,grounded,
Q031,"For HTTP triggers in Azure Functions, how often can new instances be allocated at most?","For HTTP triggers in Azure Functions, new instances are allocated at most once per second.",0.6493,grounded,TRUE,azure_functions_scaling,grounded,
Q032,"For non-HTTP triggers in Azure Functions, how often can new instances be allocated at most?","For non-HTTP triggers in Azure Functions, new instances are allocated at most once every 30 seconds.",0.6292,grounded,TRUE,azure_functions_scaling,grounded,
Q033,What is the grace period for scale-in drain mode in the Flex Consumption plan?,The grace period for scale-in drain mode in the Flex Consumption plan is up to 60 minutes.,0.6401,grounded,TRUE,azure_functions_scaling,grounded,
Q034,What is the maximum number of event-based triggers the Azure Functions scale controller can monitor at once?,"The scale controller can monitor up to 100 event-based triggers at once to make scaling decisions. When an app has more than 100 event-based triggers, scaling decisions are based only on the first 100 triggers that execute.",0.6741,grounded,TRUE,azure_functions_scaling,ungrounded,
Q035,"In the Azure Container Apps Consumption plan, what are the two types of charges that make up the billing?","In the Azure Container Apps Consumption plan, the two types of charges that make up the billing are:

1. Resource consumption charges: Based on the amount of resources allocated to your container app on a per-second basis, billed in vCPU-seconds and GiB-seconds.
2. HTTP request charges: Based on the number of HTTP requests your container app receives from outside a Container Apps environment.",0.6114,grounded,TRUE,container_apps_billing,grounded,
Q036,How many free vCPU-seconds does Azure Container Apps provide per subscription each calendar month?,"Azure Container Apps provides the first 180,000 vCPU-seconds free per subscription each calendar month.",0.6146,grounded,TRUE,container_apps_billing,grounded,
Q037,How many free HTTP requests does Azure Container Apps provide per subscription each calendar month?,Azure Container Apps provides the first 2 million HTTP requests free per subscription each calendar month.,0.6098,grounded,TRUE,container_apps_billing,grounded,
Q039,Under what conditions is a replica considered idle in Azure Container Apps?,"A replica is considered idle in Azure Container Apps when all of the following conditions are true:

- The replica is running in a revision that is currently eligible for idle charges (i.e., the revision is configured with a minimum replica count greater than zero and scaled to that minimum replica count).
- All of the containers in the replica have started and are running.
- The replica isn't processing any HTTP requests.
- The replica is using less than 0.01 vCPU cores.
- The replica is receiving less than 1,000 bytes per second of network traffic.",0.7338,grounded,TRUE,container_apps_billing,grounded,
Q040,"In Azure Container Apps Dedicated plan billing, what is billing based on?","In Azure Container Apps Dedicated plan billing, you are billed based on the instances allocated to each workload profile, not by individual applications.",0.605,grounded,TRUE,container_apps_billing,grounded,
Q041,What App Service plan tiers are supported for hosting Azure Functions in a dedicated plan?,"The dedicated App Service plan tiers supported for hosting Azure Functions include Basic, Standard, Premium, and Isolated SKUs. Azure Functions does not support Free and Shared tier App Service plans for dedicated hosting.",0.7881,grounded,TRUE,azure_functions_dedicated,grounded,
Q042,Does Azure Functions support Free and Shared tier App Service plans?,"No, Azure Functions does not support Free and Shared tier App Service plans. For a lower-cost hosting option, you should consider the Consumption plan or the Flex Consumption plan instead.",0.6658,grounded,TRUE,azure_functions_dedicated,grounded,
Q043,What setting must be enabled on an App Service plan to prevent the Azure Functions runtime from going idle?,The **Always on** setting must be enabled on an App Service plan to prevent the Azure Functions runtime from going idle.,0.6104,grounded,TRUE,azure_functions_dedicated,grounded,
Q044,How is billing calculated for Azure Functions running on a dedicated App Service plan?,"Billing for Azure Functions running on a dedicated App Service plan is calculated similarly to other App Service resources. You are billed only for the App Service plan itself, regardless of how many function apps or web apps run within that plan. This means you pay for the plan's allocated resources (such as the VMs) continuously, not based on the number of executions or resource consumption of the functions. This differs from the Consumption or Premium plans, which have consumption-based cost components.",0.7044,grounded,TRUE,azure_functions_dedicated,grounded,
Q045,What is an App Service Environment used for when hosting Azure Functions?,"An App Service Environment (ASE) is used for running Azure Functions in a fully isolated environment, allowing you to take advantage of higher numbers of instances than an App Service Plan. It provides isolation and scalability benefits for hosting your function app with dedicated resources.",0.6534,grounded,TRUE,azure_functions_dedicated,grounded,
Q046,How can you reactivate an idled Azure Functions app on an App Service plan without enabling Always On?,"You can reactivate an idled Azure Functions app on an App Service plan without enabling Always On by either:

- Sending a request to an HTTP trigger endpoint or any other endpoint on the app. Even a failed request will wake up your app.
- Accessing your app in the Azure portal.",0.6322,grounded,TRUE,azure_functions_dedicated,grounded,
Q047,What is a Container Apps environment in Azure Container Apps?,"A Container Apps environment in Azure Container Apps is a secure boundary around one or more container apps and jobs. The Container Apps runtime manages each environment by handling OS upgrades, scale operations, failover procedures, and resource balancing. It includes features such as a virtual network that enforces the environment's secure boundaries, support for multiple container apps sharing the same virtual network and logging destination, and different types of environments like Workload profiles environments and Consumption only environments.",0.7951,grounded,TRUE,container_apps_environment,grounded,
Q048,What are the two types of Azure Container Apps environments?,"The two types of Azure Container Apps environments are:

1. Workload profiles environments (the default) - These support both the Consumption and Dedicated plans.
2. Consumption only environments (legacy) - These support only the Consumption plan.",0.7723,grounded,TRUE,container_apps_environment,grounded,
Q050,What plan does a Consumption only environment support in Azure Container Apps?,A Consumption-only environment in Azure Container Apps supports the Consumption plan.,0.7906,grounded,TRUE,container_apps_environment,grounded,
Q052,Where do all container apps within the same Azure Container Apps environment send their logs by default?,"By default, all container apps within the same Azure Container Apps environment send their logs to a common Log Analytics workspace.",0.7433,grounded,TRUE,container_apps_environment,grounded,
Q054,What types of logs does an Azure Container Apps environment collect by default?,"By default, an Azure Container Apps environment collects the following types of logs:

- Container `stdout`/`stderr` streams
- Container app scaling events
- Dapr sidecar logs (if Dapr is enabled)
- System-level metrics and events

These logs are sent to a common Log Analytics workspace for centralized logging and easier querying and analysis across multiple apps.",0.7367,grounded,TRUE,container_apps_environment,grounded,
Q056,What component in Azure Functions monitors event rates and decides whether to scale out or scale in?,The component in Azure Functions that monitors event rates and decides whether to scale out or scale in is called the *scale controller*.,0.6378,grounded,TRUE,azure_functions_scaling,grounded,
Q057,"In the Azure Functions Consumption plan, what is each host instance typically limited to?","In the Azure Functions Consumption plan, each host instance is typically limited to processing one message or request at a time, but a single instance can process more than one message or request concurrently as indicated by the statement: ""a single instance can process more than one message or request at a time.""",0.5842,partially_grounded,TRUE,azure_functions_scaling,grounded,
Q061,Which Azure Functions hosting plan is recommended for dynamic scale apps?,The recommended Azure Functions hosting plan for dynamic scale apps is the Flex Consumption plan.,0.802,grounded,TRUE,azure_functions_best_practices,grounded,
Q062,What type of Azure Storage account is required when creating a function app?,"When creating a function app, you must create or link to a general-purpose Azure Storage account that supports Blob, Queue, and Table storage. The storage account should be of a type supported by Azure Functions, such as one created with the SKU `Standard_LRS`.",0.7502,grounded,TRUE,azure_functions_best_practices,grounded,
Q063,"To reduce latency, where should the storage account for an Azure Functions app be created?","To reduce latency, the storage account should be created in the same region as the function app.",0.6964,grounded,TRUE,azure_functions_best_practices,grounded,
Q065,What is one benefit of running Azure Functions from a deployment package?,One benefit of running Azure Functions from a deployment package is that it reduces the risk of file copy locking problems.,0.6163,grounded,TRUE,azure_functions_best_practices,grounded,
Q066,What setting controls the maximum number of language worker processes in an Azure Functions app?,The setting that controls the maximum number of language worker processes in an Azure Functions app is `FUNCTIONS_WORKER_PROCESS_COUNT`.,0.6827,grounded,TRUE,azure_functions_best_practices,grounded,
Q067,How should you minimise deployment downtime in the Azure Functions Flex Consumption plan?,"To minimize deployment downtime in the Azure Functions Flex Consumption plan, you should configure rolling updates for zero-downtime deployments. This site update strategy allows you to apply code deployments and configuration changes gradually across instances without interrupting function execution. 

Additionally, you can use the Flex Consumption Deployment diagnostic tool in the Azure portal to get detailed information about your deployments, including deployment history, package status, and troubleshooting recommendations. 

For more information, see the documentation on site update strategies in Flex Consumption.",0.744,grounded,TRUE,azure_functions_best_practices,partially_grounded,
Q068,Does the Flex Consumption plan require the WEBSITE_CONTENTAZUREFILECONNECTIONSTRING and WEBSITE_CONTENTSHARE settings?,"No, the Flex Consumption plan does not require the `WEBSITE_CONTENTAZUREFILECONNECTIONSTRING` and `WEBSITE_CONTENTSHARE` settings. Instead, it uses a Blob storage container to host deployment packages rather than an Azure Files share. These settings are required only for the Premium and Consumption plans on Windows. Additionally, in the Flex Consumption plan, these settings are replaced by the functionAppConfig's deployment section and are considered deprecated.",0.7733,grounded,TRUE,azure_functions_best_practices,grounded,
Q069,What certificate type is required when adding a custom domain to an Azure Container Apps application?,The certificate type required when adding a custom domain to an Azure Container Apps application is an SNI (Server Name Indication) domain certificate.,0.717,grounded,TRUE,container_apps_custom_domains,grounded,
Q070,What must be enabled on a container app before you can add a custom domain to it?,Ingress must be enabled on the container app before you can add a custom domain to it.,0.6655,grounded,TRUE,container_apps_custom_domains,grounded,
Q071,What DNS record type is used for an apex domain when adding a custom domain to Azure Container Apps?,The DNS record type used for an apex domain when adding a custom domain to Azure Container Apps is an **A record**.,0.6742,grounded,TRUE,container_apps_custom_domains,grounded,
Q074,What are the two certificate options available when adding a custom domain to Azure Container Apps?,"The two certificate options available when adding a custom domain to Azure Container Apps are:

1. Custom domain with a free certificate: A private certificate that's free of charge and easy to use for securing your custom domain in Container Apps.

2. Custom domain with an existing certificate: You can upload a private certificate if you already have one.",0.8412,grounded,TRUE,container_apps_custom_domains,grounded,
Q076,"For an Event Hubs triggered Azure Function, what storage account configuration should you avoid?","For an Event Hubs triggered Azure Function, you should avoid using a storage account with Data Lake Storage enabled.",0.6442,grounded,TRUE,azure_functions_best_practices,grounded,
Q077,"In Azure Container Apps, what TXT record must you create when validating an apex domain?","When validating an apex domain in Azure Container Apps, you must create the following TXT record:

| Record type | Host  | Value                  |
|-------------|-------|------------------------|
| TXT         | asuid | The domain verification code. |",0.6368,grounded,TRUE,container_apps_custom_domains,grounded,
Q078,What happens to an Azure Container Apps environment that is in a failed state due to virtual network or Azure Policy configuration for more than 90 days?,An Azure Container Apps environment that is in a failed state due to virtual network or Azure Policy configuration for more than 90 days is automatically deleted.,0.7069,grounded,TRUE,container_apps_environment,grounded,
Q079,Can you add a custom domain that contains the custom environment DNS suffix to an Azure Container Apps app?,"No, you cannot add a custom domain that contains the custom environment DNS suffix to your Azure Container Apps app. The documentation states: ""If you configure a custom environment DNS (Domain Name System) suffix, you can't add a custom domain that contains this suffix to your container app.""",0.8514,grounded,TRUE,container_apps_custom_domains,grounded,
Q080,"For a Premium plan EP2 Azure Function app, what starting value of FUNCTIONS_WORKER_PROCESS_COUNT is recommended?","For a Premium plan EP2 Azure Function app, the recommended starting value of `FUNCTIONS_WORKER_PROCESS_COUNT` is `2`, which corresponds to the two cores provided by the EP2 plan. You can increase this value by two as needed, up to the maximum allowed.",0.6926,grounded,TRUE,azure_functions_best_practices,grounded,
Q081,What does the AzureWebJobsStorage setting store in an Azure Functions app?,"The AzureWebJobsStorage setting in an Azure Functions app stores the connection string for an Azure Storage account that the Functions runtime uses for normal operations. This storage account is used for key management, timer trigger management, Event Hubs checkpoints, and other runtime operations. The storage account must be a general-purpose one that supports blobs, queues, and tables.",0.5777,partially_grounded,TRUE,azure_functions_settings,grounded,
Q082,What does setting AZURE_FUNCTIONS_ENVIRONMENT to Development do in Azure Functions?,Setting `AZURE_FUNCTIONS_ENVIRONMENT` to `Development` in Azure Functions configures the runtime to a development environment that supports more verbose logging and other reduced performance optimizations. This setting is typically used for local development and is set by the Azure Functions Core Tools when running on your local computer. It cannot be overridden in the local.settings.json file.,0.6844,grounded,TRUE,azure_functions_settings,grounded,
Q083,What is the purpose of FUNCTIONS_EXTENSION_VERSION in Azure Functions?,"The purpose of the `FUNCTIONS_EXTENSION_VERSION` in Azure Functions is to specify the major runtime version that your function app runs on. For example, a value of `~4` means the app runs on version 4.x of the runtime, which is the recommended version, while a value of `~1` pins the app to version 1.x of the runtime. This setting helps determine the runtime environment for the function app and ensures compatibility with the Azure Functions runtime versions.",0.5791,partially_grounded,TRUE,azure_functions_settings,grounded,
Q084,What does the FUNCTIONS_WORKER_RUNTIME setting control in Azure Functions?,"The FUNCTIONS_WORKER_RUNTIME setting controls the language or language stack of the worker runtime to load in the Azure Functions app. It specifies the language being used in the application, such as `python`, `node`, `java`, `powershell`, `dotnet`, `dotnet-isolated`, or `custom`. This setting determines which language runtime the function app will use. Starting with version 2.x of the Azure Functions runtime, a given function app can only support a single language specified by this setting.",0.7382,grounded,TRUE,azure_functions_settings,grounded,
Q085,What is the maximum timeout value for a function running on a Consumption plan?,"The context does not specify an exact maximum timeout value for a function running on a Consumption plan. It only mentions that on a Consumption plan, a function execution times out after a configurable period of time. 

Therefore, based on the provided information:

I could not find relevant information in the available documents.",0.505,partially_grounded,TRUE,azure_functions_settings,partially_grounded,
Q086,What does the WEBSITE_RUN_FROM_PACKAGE setting do in Azure Functions?,"The `WEBSITE_RUN_FROM_PACKAGE` setting in Azure Functions enables your function app to run directly from a deployment package file. This package file can be either locally mounted or deployed to an external URL. When this setting is used, the Functions runtime mounts the package file, making the contents of the `wwwroot` directory read-only, which skips the deployment step of copying files from the package to the `wwwroot` directory.

Valid values for `WEBSITE_RUN_FROM_PACKAGE` are either:

- A URL that resolves to the location of an external deployment package file (such as a package stored in an Azure Blob Storage container), or  
- The value `1`, which indicates that the package is located in the `d:\home\data\SitePackages` folder. When using zip deployment with this setting enabled, the package is automatically uploaded to this location.

This setting helps streamline deployment and improve reliability by running the function app directly from the package.",0.6671,grounded,TRUE,azure_functions_settings,grounded,
Q087,What is the purpose of the WEBSITE_CONTENTSHARE setting in Azure Functions?,"The `WEBSITE_CONTENTSHARE` setting in Azure Functions specifies the name of the file share that Functions uses to store the function app code and configuration files. This content is required by event-driven scaling plans and is used together with the `WEBSITE_CONTENTAZUREFILECONNECTIONSTRING` setting. The default value is a unique string generated by the runtime, which begins with the function app name.

This setting is required only for Consumption and Premium plan apps, which use Azure Files shares to store content. It is not required for Dedicated plan apps, which are not dynamically scaled by Functions. When deploying using an ARM template, it is recommended not to set `WEBSITE_CONTENTSHARE` initially, as a unique share value is generated automatically. However, in scenarios such as using a secured storage account in a virtual network, you must set `WEBSITE_CONTENTSHARE` to a predefined unique value.",0.824,grounded,TRUE,azure_functions_settings,grounded,
Q091,What port does the Dapr sidecar expose its API on by default in Azure Container Apps?,"The Dapr sidecar exposes its API on port 3500 by default in Azure Container Apps. This is indicated by the service invocation URL format:

```
http://localhost:3500/v1.0/invoke/<DAPR_APP_ID>/method/<METHOD_NAME>
```",0.7261,grounded,TRUE,container_apps_dapr,grounded,
Q092,What is a Dapr component in Azure Container Apps?,A Dapr component in Azure Container Apps is an environment-level resource that provides a pluggable abstraction model for connecting to supporting external services. These components can be shared across container apps or scoped to specific container apps and can use Dapr secrets to securely retrieve configuration metadata. The use of Dapr components is optional and depends on the needs of your application. They follow a simplified schema in Azure Container Apps to support Dapr functionality.,0.9057,grounded,TRUE,container_apps_dapr,grounded,
Q094,What is the Dapr app ID used for in Azure Container Apps?,"The Dapr App ID in Azure Container Apps is the unique identifier that other apps use to invoke your service. It is used for service discovery, state encapsulation, and as the pub/sub consumer ID. If you don't set a custom App ID, the Dapr runtime defaults to your container app name. The App ID must be unique within an environment to avoid provisioning failures. It enables built-in service invocation with features like mutual TLS, automatic retries, and distributed tracing.",0.7507,grounded,TRUE,container_apps_dapr,grounded,
Q095,What must you configure if you want to use Azure Key Vault as a secret store with Dapr in Azure Container Apps?,"To use Azure Key Vault as a secret store with Dapr in Azure Container Apps, you must configure the following:

1. **Create an Azure Key Vault** (if you don't have one):
   ```azurecli
   az keyvault create \
     --name ""<KEYVAULT_NAME>"" \
     --resource-group ""<RESOURCE_GROUP>"" \
     --location ""<LOCATION>""
   ```

2. **Enable managed identity on your container app** (if not already enabled):
   ```azurecli
   az containerapp identity assign \
     --resource-group ""<RESOURCE_GROUP>"" \
     --name ""<FUNCTIONS_APP_NAME>"" \
     --system-assigned
   ```

3. **Grant the Key Vault Secrets Officer role to the managed identity**:
   - This role assignment gives the runtime read and write access to the Key Vault to create and manage keys.

4. **Create a Dapr secret store component configuration** referencing the Azure Key Vault, for example:
   ```yaml
   componentType: secretstores.azure.keyvault
   version: v1
   metadata:
     - name: vaultName
       value: [your_keyvault_name]
     - name: azureEnvironment
       value: ""AZUREPUBLICCLOUD""
     - name: azureTenantId
       value: ""[your_tenant_id]""
     - name: azureClientId 
       value: ""[your_client_id]""
     - name: azureClientSecret
       secretRef: azClientSecret
   secrets:
     - name: azClientSecret
       value: ""[your_client_secret]""
   scopes:
     - publisher-app
     - subscriber-app
   ```

5. **Ensure that the apps (e.g., publisher-app and subscriber-app) have system or user-assigned managed identities with appropriate permissions on the Azure Key Vault instance.**

This setup allows Dapr in Azure Container Apps to securely access secrets stored in Azure Key Vault using managed identity authentication.",0.7891,grounded,TRUE,container_apps_dapr,grounded,
Q096,What language does the FUNCTIONS_WORKER_RUNTIME value dotnet-isolated refer to in Azure Functions?,I could not find relevant information in the available documents.,0.6097,grounded,TRUE,azure_functions_settings,grounded,
Q097,What is the Dapr service invocation API used for in Azure Container Apps?,"The Dapr service invocation API in Azure Container Apps is used to discover services and perform reliable, direct service-to-service calls with automatic mutual TLS (mTLS) authentication and encryption. It enables built-in service invocation with features such as mutual TLS, automatic retries, and distributed tracing through Azure Application Insights, facilitating secure and reliable inter-app communication.",0.6544,grounded,TRUE,container_apps_dapr,grounded,
Q098,What does the SCALE_CONTROLLER_LOGGING_ENABLED setting do in Azure Functions?,"The `SCALE_CONTROLLER_LOGGING_ENABLED` setting in Azure Functions controls logging from the Azure Functions scale controller. It enables the scale controller to emit logs to either Application Insights or Blob storage, helping you better understand the scaling decisions being made for your function app. The value of this setting must be in the format `<DESTINATION>:<VERBOSITY>`, for example, `AppInsights:Verbose` to turn on verbose logging to Application Insights. This feature is currently in preview.",0.8443,grounded,TRUE,azure_functions_settings,grounded,
Q099,What is the Dapr pub/sub API used for in Azure Container Apps?,"The Dapr pub/sub API in Azure Container Apps is used to enable publish and subscribe messaging patterns between microservices. It allows container apps to communicate asynchronously by publishing messages to topics and subscribing to those topics to receive messages. For example, it can be connected to an Azure Service Bus to handle message queuing and delivery between services, facilitating decoupled and scalable microservice communication.",0.6486,grounded,TRUE,container_apps_dapr,grounded,
Q101,What HTTP methods does an Azure Functions HTTP trigger support by default?,I could not find relevant information in the available documents.,0.595,partially_grounded,TRUE,azure_functions_http,grounded,
Q102,What authorization level controls access to an Azure Functions HTTP trigger?,"The authorization level that controls access to an Azure Functions HTTP trigger depends on the type of access key used:

- **Function** key: Authorization level is `function`, allowing access only to a specific function endpoint.
- **Host** key: Authorization level is `function`, allowing access to all function endpoints in a function app.
- **Master** key: Authorization level is `admin`, providing administrative access to the runtime REST APIs in a function app.

Therefore, the HTTP authorization level for Azure Functions HTTP triggers can be either `function` or `admin`, depending on the key used.",0.4343,partially_grounded,TRUE,azure_functions_http,partially_grounded,
Q105,What does the admin authorization level require for an Azure Functions HTTP trigger?,The admin authorization level for an Azure Functions HTTP trigger requires providing the master key (`_master`) in the `x-functions-key` request header. This master key is a special host key that provides administrative access to the runtime REST APIs in a function app.,0.6336,grounded,TRUE,azure_functions_http,grounded,
Q106,How can you pass an API key to an Azure Functions HTTP trigger?,"You can pass an API key to an Azure Functions HTTP trigger either as a query parameter or in the request header:

- As a query parameter using `?code=<HOST_KEY>` in the URL:
```bash
curl ""https://<FUNCTIONS_APP_URL>/api/<FUNCTION_NAME>?code=<HOST_KEY>""
```

- As a request header using `x-functions-key`:
```bash
curl ""https://<FUNCTIONS_APP_URL>/api/<FUNCTION_NAME>"" \
  -H ""x-functions-key: <HOST_KEY>""
```

The access key (`<HOST_KEY>`) is required when the function's authorization level is set to a value other than `anonymous`.",0.6797,grounded,TRUE,azure_functions_http,grounded,
Q109,What is the name of the poison queue created automatically for a queue named myqueue in Azure Functions?,I could not find relevant information in the available documents.,0.6005,grounded,TRUE,azure_functions_queue,grounded,
Q110,What does the maxPollingInterval setting control in Azure Functions queue triggers?,I could not find relevant information in the available documents.,0.6009,grounded,TRUE,azure_functions_queue,grounded,
Q111,What is a container in Azure Container Apps?,"A container in Azure Container Apps is a packaged unit that wraps up your application and all its dependencies, allowing it to run easily and portably on any container platform. Azure Container Apps supports any Linux-based x86-64 (`linux/amd64`) container image from any public or private container registry. Containers can use any runtime, programming language, or development stack. Additionally, Azure Container Apps can manage containers including optional sidecar and init containers, handling the details of Kubernetes and container orchestration for you. If you are new to containers, Azure Container Apps also offers a cloud build feature that can automatically create a container image for your application without requiring you to define a container ahead of time or use special container tooling or registries.",0.8504,grounded,TRUE,container_apps_containers,grounded,
Q112,What container registries can you use to pull images into Azure Container Apps?,"You can use the following container registries to pull images into Azure Container Apps:

1. Azure Container Registry (ACR)  
2. GitHub Container Registry (GHCR)  
3. Docker Hub  
4. Other private container registries (by providing credentials in the Container Apps configuration)

Azure Container Apps supports container images hosted in these registries, including both public and private images. For private registries, you need to provide credentials either through managed identity (recommended) or by specifying admin credentials (`acrUsername` and `acrPassword` for ACR, or equivalent credentials for other registries) in the container app configuration.",0.8181,grounded,TRUE,container_apps_containers,grounded,
Q113,What happens to containers in a revision when a new revision is deployed in Azure Container Apps?,"When a new revision is deployed in Azure Container Apps, the containers in the previous revision may be shut down if that revision is deactivated. During deactivation, the containers in the revision are shut down. Additionally, when using single revision mode, Container Apps automatically switches between revisions to support zero downtime deployment, which implies that the containers in the old revision are replaced by those in the new revision.",0.7631,grounded,TRUE,container_apps_containers,grounded,
