question_id,expected_answer,source_doc,in_corpus,category,config,question,answer,retrieved_chunks,latency_ms,grv_score,grv_label,grv_layer_scores,flagged,ragas_faithfulness,cross_encoder_score,reranker_score
Q011,app.HTTP(),azure-functions/add-bindings-existing-function.md,True,azure_functions_go,A,What is the registration method used in the Azure Functions Go worker for an HTTP trigger?,"In the Azure Functions Go worker, the registration of an HTTP trigger is done by defining a function with the appropriate signature and then registering it with the Azure Functions runtime using the Go worker SDK.

Specifically, the Go worker uses the `func` package where you register your function by calling `func.Register` with the function name and a handler function. For an HTTP trigger, the handler function receives an `*func.Context` and an `*func.HttpRequest`, and returns an `*func.HttpResponse` and an error.

Example registration method for an HTTP trigger:

```go
import (
    ""github.com/Azure/azure-functions-go/azfunc""
)

func main() {
    azfunc.Register(""HttpTrigger"", func(ctx *azfunc.Context, req *azfunc.HttpRequest) (*azfunc.HttpResponse, error) {
        // Your function logic here
        return &azfunc.HttpResponse{
            StatusCode: 200,
            Body:       []byte(""Hello from Go HTTP trigger!""),
        }, nil
    })

    azfunc.Start()
}
```

So, the registration method is `azfunc.Register(functionName string, handler func(*azfunc.Context, *azfunc.HttpRequest) (*azfunc.HttpResponse, error))`.

In summary:  
**The Azure Functions Go worker registers an HTTP trigger by calling `azfunc.Register` with the function name and a handler function that takes an HTTP request and returns an HTTP response.**",[],3267,,,,,,,
Q012,app.CosmosDB(),azure-functions/add-bindings-existing-function.md,True,azure_functions_go,A,What registration method does the Go worker use for an Azure Cosmos DB trigger?,"The Go worker for Azure Functions uses attribute-based registration for an Azure Cosmos DB trigger. Specifically, it registers the Cosmos DB trigger by decorating the function with the appropriate trigger attribute (e.g., `cosmosDBTrigger` in the function.json or equivalent in code) that specifies the database, collection, lease collection, and connection details. This declarative registration enables the Go worker runtime to bind the function to the Cosmos DB change feed trigger.",[],1940,,,,,,,
Q013,"Custom containers, which allow you to create a sessions pool using a custom container for specialized workloads or additional language support",container-apps/ai-integration.md,True,container_apps_ai,A,What session type would you use in Azure Container Apps if you need to run workloads in a language not supported by the built-in container?,"In Azure Container Apps, if you need to run workloads in a language not supported by the built-in container, you would use a **Custom Container** session type. This allows you to bring your own container image with the runtime and dependencies required for your specific language or workload.",[],2182,,,,,,,
Q014,Binding-specific attributes to the function definition in code,azure-functions/add-bindings-existing-function.md,True,azure_functions_bindings,A,"When adding a binding to a C# Azure Function, what do you need to add to the function definition?","When adding a binding to a C# Azure Function, you need to add an attribute to the function method's parameters (or to the method itself, depending on the binding type) that specifies the binding type and its configuration. This attribute defines the input or output binding.

For example, for an input binding like a BlobTrigger, you add an attribute such as `[BlobTrigger(""container/{name}"")]` to a parameter:

```csharp
[FunctionName(""MyFunction"")]
public static void Run(
    [BlobTrigger(""mycontainer/{name}"")] Stream myBlob, string name, ILogger log)
{
    // Function code
}
```

Similarly, for an output binding, you add an attribute to an output parameter:

```csharp
[FunctionName(""MyFunction"")]
public static void Run(
    [TimerTrigger(""0 */5 * * * *"")] TimerInfo myTimer,
    [Queue(""myqueue"")] out string queueMessage,
    ILogger log)
{
    queueMessage = ""Hello from function!"";
}
```

In summary, to add a binding, you add the corresponding binding attribute to the function method's parameters or method definition, specifying the binding type and its configuration.",[],2813,,,,,,,
Q015,app.EventGrid(),azure-functions/add-bindings-existing-function.md,True,azure_functions_go,A,What does the Event Grid trigger registration method look like in the Azure Functions Go worker?,"In the Azure Functions Go worker, the Event Grid trigger is registered by specifying the function signature to accept an `eventgrid.Event` parameter and using the `func` package to register the function with the trigger type `""eventGridTrigger""`.

Here is an example of how the Event Grid trigger registration looks in Go:

```go
package main

import (
    ""context""
    ""fmt""
    ""github.com/Azure/azure-functions-go/azfunc""
    ""github.com/Azure/azure-functions-go/azfunc/eventgrid""
)

func main() {
    azfunc.Start(func(ctx context.Context, event eventgrid.Event) error {
        fmt.Printf(""Received Event Grid event: %+v\n"", event)
        // Your event handling logic here
        return nil
    }, azfunc.WithTrigger(""eventGridTrigger""))
}
```

**Explanation:**

- The function passed to `azfunc.Start` has the signature `func(context.Context, eventgrid.Event) error`.
- The trigger type is specified as `""eventGridTrigger""` using the `azfunc.WithTrigger` option.
- The `eventgrid.Event` type represents the Event Grid event payload.

This setup tells the Azure Functions Go worker runtime to invoke this function when an Event Grid event is received.",[],3004,,,,,,,
Q016,Add binding-specific annotations to the function definition in code,azure-functions/add-bindings-existing-function.md,True,azure_functions_bindings,A,What is the recommended approach for a Java Azure Function when adding a binding to an existing function?,"The recommended approach for adding a binding to an existing Java Azure Function is to update the function method's annotations to include the new binding configuration. Specifically, you should:

1. **Modify the function method signature and annotations:**  
   - Add the new binding annotation (e.g., `@BlobOutput`, `@QueueOutput`, `@CosmosDBOutput`, etc.) alongside the existing trigger annotation (e.g., `@HttpTrigger`, `@TimerTrigger`).  
   - Configure the binding properties (such as name, path, connection) within the annotation parameters.

2. **Update the function.json (if applicable):**  
   - When using the Azure Functions Maven plugin or Azure Functions Core Tools, the `function.json` file is auto-generated from the annotations. Ensure your annotations are correct so the binding is properly reflected.

3. **Rebuild and redeploy the function:**  
   - After updating the code, rebuild your project and redeploy the function to Azure.

**Example:** Adding a Blob output binding to an existing HTTP-triggered function:

```java
@FunctionName(""HttpToBlobFunction"")
public HttpResponseMessage run(
    @HttpTrigger(name = ""req"", methods = {HttpMethod.GET}, authLevel = AuthorizationLevel.FUNCTION) HttpRequestMessage<Optional<String>> request,
    @BlobOutput(name = ""outputBlob"", path = ""container/{rand-guid}.txt"", connection = ""AzureWebJobsStorage"") OutputBinding<String> outputBlob,
    final ExecutionContext context) {

    String content = ""Hello, Blob!"";
    outputBlob.setValue(content);

    return request.createResponseBuilder(HttpStatus.OK).body(""Blob written"").build();
}
```

In summary, the recommended approach is to add the new binding annotation directly to the function method, configure it properly, and then rebuild and redeploy. This keeps the function code declarative and leverages the Azure Functions Java SDK's annotation-based binding model.",[],4159,,,,,,,
Q017,Variable traffic scenarios and cost-sensitive inference workloads,container-apps/ai-integration.md,True,container_apps_ai,A,What type of AI workload scenario are serverless GPUs in Azure Container Apps best suited for?,"Serverless GPUs in Azure Container Apps are best suited for AI workload scenarios that require **inference at scale with variable or unpredictable demand**. This includes deploying machine learning models for real-time or batch inference where the workload can scale dynamically without the need to manage GPU infrastructure, enabling cost-efficient and scalable AI inference deployments.",[],1777,,,,,,,
Q018,Continuous low-latency inference scenarios,container-apps/ai-integration.md,True,container_apps_ai,A,What type of AI workload scenario are dedicated GPUs in Azure Container Apps best suited for?,"Dedicated GPUs in Azure Container Apps are best suited for AI workload scenarios that require high-performance parallel processing, such as deep learning model training, inferencing, computer vision, natural language processing, and other compute-intensive AI tasks. These workloads benefit from the accelerated computation power provided by GPUs to handle large-scale data and complex algorithms efficiently.",[],1938,,,,,,,
Q019,app.EventHub(),azure-functions/add-bindings-existing-function.md,True,azure_functions_go,A,What registration method does the Go worker in Azure Functions use for an Event Hubs trigger?,"The Go worker in Azure Functions uses attribute-based registration for an Event Hubs trigger. Specifically, it registers the Event Hubs trigger by decorating the function with the `eventhubTrigger` attribute in the function.json or via the Go worker's binding metadata, enabling the runtime to invoke the function when events arrive in the specified Event Hub.",[],1957,,,,,,,
Q020,Update the function code and add a definition to the function.json configuration file,azure-functions/add-bindings-existing-function.md,True,azure_functions_bindings,A,"For a Python Azure Function using the v1 model, what do you need to do when adding a binding?","For a Python Azure Function using the v1 model, when adding a binding, you need to:

1. **Update the `function.json` file**: Manually add the binding configuration to the `function.json` file associated with your function. This includes specifying the binding type, direction (in/out), name, and any other required properties.

2. **Modify your Python code accordingly**: Adjust your function code to accept parameters or return values that correspond to the bindings defined in `function.json`.

Unlike later versions or other languages, the v1 Python model does not support attribute-based binding declarations in code, so the `function.json` file is the primary place to define bindings.",[],2645,,,,,,,
Q021,"1,000 instances",azure-functions/flex-consumption-plan.md,True,azure_functions_flex_consumption,A,What is the maximum number of scale-out instances allowed in the Flex Consumption plan?,The maximum number of scale-out instances allowed in the Azure Functions Flex Consumption plan is 200 instances.,[],1616,,,,,,,
Q022,"Yes, the Flex Consumption plan supports virtual network integration, allowing serverless apps to connect to other Azure services secured inside a virtual network",azure-functions/flex-consumption-plan.md,True,azure_functions_flex_consumption,A,Does the Flex Consumption plan support virtual network integration?,"No, the Azure Functions Premium plan and the App Service plan support virtual network integration, but the Azure Functions Consumption plan (including the Flex Consumption plan) does not support virtual network integration.",[],1902,,,,,,,
Q023,"512 MB (0.25 CPU cores), 2048 MB (1 CPU core), and 4096 MB (2 CPU cores)",azure-functions/flex-consumption-plan.md,True,azure_functions_flex_consumption,A,What instance memory sizes does the Flex Consumption plan offer?,"The Azure Functions Premium plan offers instance memory sizes ranging from 1.75 GB to 14 GB. However, the Azure Functions Consumption plan (often referred to as the Flex Consumption plan) does not have fixed instance memory sizes like the Premium plan. Instead, it allocates memory dynamically per function execution, with a maximum memory allocation of up to 1.5 GB per function instance.

If you are referring specifically to the Azure App Service Flexible Consumption plan (for example, in Azure Logic Apps or other services), please clarify, as memory sizes can vary by service.

For Azure Functions Consumption plan:
- Memory allocation per function instance: 128 MB to 1.5 GB (dynamically allocated based on function requirements).

If you need precise instance sizes or more details, please specify the exact service or context.",[],2763,,,,,,,
Q024,"2,048 MB is recommended as the default for most scenarios",azure-functions/flex-consumption-plan.md,True,azure_functions_flex_consumption,A,What is the recommended default instance memory size for most Flex Consumption scenarios?,The recommended default instance memory size for most Flex Consumption scenarios is 2 GB.,[],1507,,,,,,,
Q025,The default is 0 (zero),azure-functions/flex-consumption-plan.md,True,azure_functions_flex_consumption,A,What is the default number of always-ready instances in the Flex Consumption plan?,"The default number of always-ready instances in the Azure Functions Premium plan is 1. 

However, in the **Azure Functions Consumption plan (including the Flex Consumption plan)**, there are **no always-ready instances by default**. Instances are dynamically allocated based on demand, and there is no pre-warmed or always-ready instance count set by default.",[],1834,,,,,,,
Q026,No fewer than two always-ready instances per function or function group,azure-functions/flex-consumption-plan.md,True,azure_functions_flex_consumption,A,What is the minimum number of always-ready instances required when zone redundancy is enabled in the Flex Consumption plan?,"When zone redundancy is enabled in the Azure Functions Premium plan (which supports zone redundancy), the minimum number of always-ready instances required is **3**. 

However, for the Flex Consumption plan specifically, zone redundancy is not supported, so there is no minimum number of always-ready instances related to zone redundancy in that plan.

If you are referring to the Premium plan with zone redundancy enabled, the minimum is 3 always-ready instances to ensure availability across zones.",[],2148,,,,,,,
Q027,Only Server Message Block (SMB) shares are supported. NFS is not available.,azure-functions/flex-consumption-plan.md,True,azure_functions_flex_consumption,A,What file share protocol does the Flex Consumption plan support for mounting Azure Files shares?,The Azure Functions Flex Consumption plan supports mounting Azure Files shares using the SMB (Server Message Block) protocol.,[],1746,,,,,,,
Q028,Linux only. Windows is not supported in the Flex Consumption plan.,azure-functions/flex-consumption-plan.md,True,azure_functions_flex_consumption,A,What operating system does the Flex Consumption plan support?,The Flex Consumption plan supports Linux operating systems.,[],1666,,,,,,,
Q029,100 overall instances by default,azure-functions/event-driven-scaling.md,True,azure_functions_scaling,A,What is the default maximum instance count for apps running in the Flex Consumption plan?,"The default maximum instance count for apps running in the Azure Functions Premium plan (which includes the Flex Consumption plan) is typically 20 instances. However, for the Consumption plan itself, scaling is automatic and there is no fixed maximum instance count set by default; it scales out based on demand up to a platform-defined limit, which can be much higher.

If you are specifically referring to the Flex Consumption plan in Azure Functions, the default maximum instance count is 200 instances. 

Please verify with the latest Azure documentation as limits may change over time.",[],2456,,,,,,,
Q030,"1,000 instances",azure-functions/event-driven-scaling.md,True,azure_functions_scaling,A,What is the highest supported maximum instance count for a Flex Consumption plan app?,The highest supported maximum instance count for an Azure Functions app using the Consumption (including the Flex Consumption) plan is 200 instances.,[],1803,,,,,,,
Q031,At most once per second,azure-functions/event-driven-scaling.md,True,azure_functions_scaling,A,"For HTTP triggers in Azure Functions, how often can new instances be allocated at most?","Azure Functions scale out based on demand, and new instances for HTTP-triggered functions can be allocated very rapidly—typically within seconds—to handle incoming requests. There is no fixed maximum frequency for instance allocation; instead, scaling is governed by the platform's scaling algorithms, which monitor metrics like request rate, CPU usage, and memory.

In the Consumption and Premium plans, Azure Functions can scale out to multiple instances automatically and quickly as load increases. However, the exact speed and number of instances allocated depend on factors such as:

- Current load and request rate  
- Function execution duration and resource consumption  
- Plan type (Consumption, Premium, or Dedicated)  
- Any configured scaling limits or quotas  

In summary, new instances for HTTP-triggered Azure Functions can be allocated almost immediately as needed, with no strict maximum frequency, but subject to platform scaling policies and limits.",[],2887,,,,,,,
Q032,At most once every 30 seconds,azure-functions/event-driven-scaling.md,True,azure_functions_scaling,A,"For non-HTTP triggers in Azure Functions, how often can new instances be allocated at most?","For non-HTTP triggers in Azure Functions (such as timer triggers, queue triggers, event hub triggers, etc.), new instances can be allocated based on the scale controller's evaluation of the workload and queue length. While there is no fixed, publicly documented maximum frequency for instance allocation, scaling decisions typically occur every few seconds to a minute.

In general:

- The Azure Functions scale controller monitors trigger-specific metrics (e.g., queue length, event hub partitions).
- It evaluates scaling needs approximately every 10 to 30 seconds.
- New instances can be allocated as needed to handle increased load, but there is a cooldown period to prevent rapid scaling up and down.

Therefore, new instances for non-HTTP triggers can be allocated roughly every 10 to 30 seconds, depending on the trigger type and workload, but exact timing is managed internally by the platform and is not explicitly guaranteed.",[],2962,,,,,,,
Q033,Up to 60 minutes for Flex Consumption plan apps,azure-functions/event-driven-scaling.md,True,azure_functions_scaling,A,What is the grace period for scale-in drain mode in the Flex Consumption plan?,"The grace period for scale-in drain mode in the Azure Functions Flex Consumption plan is 30 seconds. During this time, the function app stops receiving new invocations on the instance being scaled in but allows in-flight executions to complete before the instance is terminated.",[],1908,,,,,,,
Q034,Up to 100 triggers,azure-functions/event-driven-scaling.md,True,azure_functions_scaling,A,What is the maximum number of event-based triggers the Azure Functions scale controller can monitor at once?,The Azure Functions scale controller can monitor up to **200 event-based triggers** simultaneously.,[],1733,,,,,,,
Q035,Resource consumption charges (vCPU-seconds and GiB-seconds) and HTTP request charges,container-apps/billing.md,True,container_apps_billing,A,"In the Azure Container Apps Consumption plan, what are the two types of charges that make up the billing?","In the Azure Container Apps Consumption plan, billing is based on two types of charges:

1. **vCPU and Memory Consumption**: Charges for the amount of CPU and memory resources consumed by the container apps, measured in vCPU-seconds and GB-seconds.

2. **Outbound Data Transfer**: Charges for the data egress (outbound data transfer) from the container apps to the internet or other Azure regions.

These two components together determine the overall cost in the Consumption plan.",[],2909,,,,,,,
Q036,"The first 180,000 vCPU-seconds are free each calendar month per subscription",container-apps/billing.md,True,container_apps_billing,A,How many free vCPU-seconds does Azure Container Apps provide per subscription each calendar month?,"Azure Container Apps provides 180,000 free vCPU-seconds per subscription each calendar month.",[],1536,,,,,,,
Q037,The first 2 million HTTP requests are free per subscription each calendar month,container-apps/billing.md,True,container_apps_billing,A,How many free HTTP requests does Azure Container Apps provide per subscription each calendar month?,Azure Container Apps provides 10 million free HTTP requests per subscription each calendar month.,[],1418,,,,,,,
Q038,"No, health probe requests are not billable",container-apps/billing.md,True,container_apps_billing,A,Are health probe requests billable in Azure Container Apps?,"No, health probe requests themselves are not separately billable in Azure Container Apps. Billing is generally based on the compute resources (vCPU and memory) allocated to your container apps, the number of instances, and other factors like outbound data transfer. Health probes are part of the platform's management and do not incur additional charges.",[],1881,,,,,,,
Q039,"A replica is idle when it is not processing any HTTP requests, is using less than 0.01 vCPU cores, and is receiving less than 1,000 bytes per second of network traffic, while the revision is configured with a minimum replica count greater than zero",container-apps/billing.md,True,container_apps_billing,A,Under what conditions is a replica considered idle in Azure Container Apps?,"In Azure Container Apps, a replica is considered idle when it is not processing any requests or workload. Specifically, this occurs when the container instance has no active incoming traffic or tasks to handle. Under these conditions, the platform may scale down the number of replicas to zero to save resources, effectively marking those replicas as idle. This idle state typically happens in scenarios where the app experiences low or no traffic, enabling Azure Container Apps to perform automatic scale-to-zero.",[],2183,,,,,,,
Q040,"Billing is based on workload profile instances, not by individual applications",container-apps/billing.md,True,container_apps_billing,A,"In Azure Container Apps Dedicated plan billing, what is billing based on?","In Azure Container Apps Dedicated plan billing, charges are based on the number of vCPU and memory resources allocated to the dedicated environment, billed per second. This means you pay for the compute and memory capacity reserved for your container apps in the dedicated plan, regardless of actual usage.",[],2146,,,,,,,
Q041,"Basic, Standard, Premium, and Isolated SKUs",azure-functions/dedicated-plan.md,True,azure_functions_dedicated,A,What App Service plan tiers are supported for hosting Azure Functions in a dedicated plan?,"Azure Functions running in a dedicated (App Service) plan support the following App Service plan tiers:

- Basic (B1, B2, B3)
- Standard (S1, S2, S3)
- Premium (P1v2, P2v2, P3v2)
- PremiumV3 (P1v3, P2v3, P3v3)
- Isolated (I1, I2, I3)

These tiers provide dedicated compute resources for your Azure Functions, unlike the Consumption plan which is serverless and scales automatically.",[],2485,,,,,,,
Q042,"No, Azure Functions does not support Free and Shared tier App Service plans",azure-functions/dedicated-plan.md,True,azure_functions_dedicated,A,Does Azure Functions support Free and Shared tier App Service plans?,"Azure Functions does not support the Free and Shared tier App Service plans. It requires at least the Basic tier or higher for App Service plans. However, Azure Functions can run on the Consumption plan, which is a serverless hosting option that automatically scales and charges based on usage.",[],1985,,,,,,,
Q043,The Always On setting must be enabled,azure-functions/dedicated-plan.md,True,azure_functions_dedicated,A,What setting must be enabled on an App Service plan to prevent the Azure Functions runtime from going idle?,"To prevent the Azure Functions runtime from going idle, the App Service plan must have the **""Always On""** setting enabled. This setting keeps the app loaded and running, preventing it from being unloaded due to inactivity.",[],1744,,,,,,,
Q044,"You are billed only for the plan regardless of how many function apps or web apps run in it, not based on function executions",azure-functions/dedicated-plan.md,True,azure_functions_dedicated,A,How is billing calculated for Azure Functions running on a dedicated App Service plan?,"When Azure Functions run on a **dedicated App Service plan**, billing is based on the underlying App Service plan's pricing model, not on the number of function executions or execution time.

Specifically:

- You are charged for the App Service plan's compute resources (VM instances) allocated to your plan.
- Billing is based on the **App Service plan tier** (e.g., Basic, Standard, Premium) and the number of instances running.
- The cost is incurred regardless of how many functions run or how often they execute, as the compute resources are always allocated.
- There are no additional charges per function execution or execution duration in this mode.

In summary, for Azure Functions on a dedicated App Service plan, you pay for the App Service plan's fixed compute resources, similar to hosting a web app, rather than on a consumption-based model.",[],2957,,,,,,,
Q045,It lets you fully isolate your functions and take advantage of higher numbers of instances than a regular App Service plan,azure-functions/dedicated-plan.md,True,azure_functions_dedicated,A,What is an App Service Environment used for when hosting Azure Functions?,"An App Service Environment (ASE) is used when hosting Azure Functions to provide a fully isolated, dedicated environment within an Azure Virtual Network. This enables enhanced network isolation, improved security, and high scale for hosting functions. Specifically, ASE allows Azure Functions to:

- Run in a private, dedicated environment isolated from other customers.
- Integrate securely with on-premises resources via virtual network connectivity.
- Meet compliance and regulatory requirements by controlling inbound and outbound network traffic.
- Scale to high workloads with dedicated compute resources.

In summary, an App Service Environment is used to host Azure Functions when you need a secure, high-scale, and network-isolated environment.",[],2451,,,,,,,
Q046,"Send a request to an HTTP trigger endpoint or any other endpoint on the app, or access the app in the Azure portal",azure-functions/dedicated-plan.md,True,azure_functions_dedicated,A,How can you reactivate an idled Azure Functions app on an App Service plan without enabling Always On?,"If your Azure Functions app is running on an App Service plan and you do **not** have Always On enabled, the app can go idle after a period of inactivity. To reactivate (wake up) the app without enabling Always On, you can:

1. **Send an HTTP request to the function app endpoint:**  
   Simply make an HTTP GET or POST request to one of your function endpoints. This will cause the app service to spin up the app and process the request, effectively ""waking"" it from the idle state.

2. **Use a scheduled ping or heartbeat:**  
   Set up an external service (like Azure Logic Apps, Azure Monitor Webhook, or an external cron job) to periodically send HTTP requests to your function app. This keeps the app active without enabling Always On.

3. **Trigger via other event sources:**  
   If your function is triggered by events (e.g., queue messages, Event Hub, Service Bus), sending a test event to the trigger will also wake the app.

**Note:** Without Always On, the app will still idle after inactivity, so periodic pings are necessary to keep it warm.

---

**Summary:** To reactivate an idled Azure Functions app on an App Service plan without Always On, send an HTTP request or trigger an event to the function app endpoint to wake it up.",[],3239,,,,,,,
Q047,"A secure boundary around one or more container apps and jobs where the Container Apps runtime manages OS upgrades, scale operations, failover procedures, and resource balancing",container-apps/environment.md,True,container_apps_environment,A,What is a Container Apps environment in Azure Container Apps?,"A Container Apps environment in Azure Container Apps is a secure, isolated boundary that hosts one or more containerized applications. It provides a dedicated infrastructure with shared compute, networking, and scaling capabilities, enabling containers within the environment to communicate with each other securely. Essentially, it acts as a logical grouping for container apps, managing resources, networking (including ingress and egress), and scaling policies collectively. This environment simplifies deployment and management by isolating workloads and providing features like virtual network integration and enhanced security.",[],2168,,,,,,,
Q048,Workload profiles environments (the default) and Consumption only environments (legacy),container-apps/environment.md,True,container_apps_environment,A,What are the two types of Azure Container Apps environments?,"The two types of Azure Container Apps environments are:

1. **Managed Environment**: A fully managed, serverless environment where Azure handles the infrastructure, scaling, and maintenance.

2. **Connected Environment**: An environment connected to an existing Azure Virtual Network (VNet), allowing for more control over networking and integration with other resources.",[],1928,,,,,,,
Q049,Both the Consumption and Dedicated plans,container-apps/environment.md,True,container_apps_environment,A,What plans does a Workload profiles environment support in Azure Container Apps?,"In Azure Container Apps, a Workload Profiles environment supports the **Premium** and **Isolated** plans. These plans provide enhanced capabilities such as higher scale limits, increased resource allocation, and improved network isolation compared to the standard Consumption plan.",[],2138,,,,,,,
